#  T(K)  <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ------  -----    -----   -----   -----   -----   -----  ------   -----
  4.66  -0.212   0.001   0.000   0.002   0.232   0.001   0.005  -0.019   0.047  
  4.65  -0.211   0.001   0.000   0.004   0.234   0.001   0.000   0.014   0.055  
  4.65  -0.212   0.000   0.001   0.001   0.232   0.001   0.014   0.046   0.035  
  4.64  -0.232   0.000  -0.003   0.004   0.233   0.000  -0.078  -0.065   0.165  
  4.64  -0.236   0.002  -0.000   0.002   0.235   0.001  -0.005  -0.047   0.062  
  4.63  -0.247   0.000   0.000   0.003   0.230   0.000   0.000  -0.041   0.054  
  4.63  -0.245   0.001  -0.000   0.000   0.232   0.000  -0.005  -0.019   0.061  
  4.62  -0.234   0.000  -0.002   0.001   0.238   0.001  -0.037   0.000   0.109  
  4.62  -0.217   0.001  -0.000   0.003   0.234   0.000  -0.005  -0.023   0.062  
  4.61  -0.225   0.000   0.000   0.002   0.234   0.001   0.009   0.019   0.042  
  4.61  -0.241   0.002   0.001   0.003   0.235   0.001   0.028   0.042   0.016  
  4.60  -0.224   0.001   0.000   0.004   0.235   0.000   0.009  -0.056   0.042  
  4.60  -0.225   0.000   0.000   0.001   0.238   0.000   0.009   0.024   0.043  
  4.59  -0.251   0.001   0.002   0.002   0.234   0.001   0.042   0.080  -0.004  
  4.59  -0.250   0.001   0.001   0.003   0.238   0.001   0.014  -0.010   0.037  
  4.58  -0.246   0.001   0.002   0.003   0.235   0.000   0.038   0.005   0.003  
  4.58  -0.219   0.001  -0.002   0.002   0.236   0.001  -0.038   0.005   0.110  
  4.57  -0.242   0.000   0.001   0.002   0.236   0.000   0.024  -0.005   0.023  
  4.57  -0.225   0.000   0.000   0.003   0.243   0.000   0.005  -0.005   0.052  
  4.56  -0.251   0.000   0.001   0.002   0.238   0.001   0.024   0.005   0.023  
  4.56  -0.241   0.000   0.001   0.001   0.242   0.000   0.014   0.005   0.037  
  4.55  -0.239   0.000   0.002   0.003   0.239   0.001   0.043   0.053  -0.003  
  4.55  -0.241   0.000   0.001   0.002   0.245   0.000   0.015   0.020   0.039  
  4.54  -0.235   0.000  -0.001   0.001   0.238   0.001  -0.019  -0.014   0.084  
  4.54  -0.229   0.002  -0.001   0.004   0.243   0.000  -0.033  -0.015   0.105  
  4.53  -0.241   0.001  -0.001   0.003   0.239   0.001  -0.019   0.043   0.085  
  4.53  -0.223   0.001  -0.001   0.002   0.241   0.001  -0.019  -0.058   0.087  
  4.52  -0.250   0.001   0.001   0.002   0.240   0.000   0.014   0.024   0.037  
  4.52  -0.239   0.001   0.002   0.002   0.243   0.001   0.048   0.063  -0.009  
  4.51  -0.246   0.002   0.001   0.003   0.240   0.000   0.014   0.014   0.037  
  4.51  -0.257   0.000  -0.000   0.000   0.237   0.001  -0.009   0.076   0.070  
  4.50  -0.243   0.001   0.000   0.000   0.243   0.000   0.000  -0.029   0.060  
  4.50  -0.257   0.000  -0.000   0.003   0.243   0.001  -0.010  -0.015   0.073  
  4.49  -0.236   0.001  -0.001   0.002   0.242   0.001  -0.024  -0.039   0.093  
  4.49  -0.242   0.001  -0.001   0.004   0.245   0.000  -0.014   0.034   0.080  
  4.48  -0.245   0.001   0.001  -0.000   0.242   0.001   0.015  -0.005   0.039  
  4.48  -0.253   0.000  -0.000   0.003   0.246   0.001  -0.010  -0.044   0.075  
