# i = 10	j = 15
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.427  0.001  -0.111  -0.259  0.288
 4.95  -0.435  0.004  0.037  0.037  -0.036
 4.90  -0.441  0.002  0.333  -0.259  0.173
 4.85  -0.441  0.002  -0.111  0.185  -0.206
 4.80  -0.449  0.001  0.259  0.185  -0.137
 4.75  -0.455  0.001  -0.407  0.037  -0.052
 4.70  -0.461  0.001  0.185  0.185  -0.151
 4.65  -0.466  0.001  -0.037  -0.037  0.038
 4.60  -0.470  0.008  0.111  -0.407  0.362
 4.55  -0.478  0.005  -0.259  -0.185  0.233
 4.50  -0.488  0.002  -0.037  -0.333  0.346
 4.45  -0.491  0.001  -0.111  -0.037  0.041
 4.40  -0.497  0.002  -0.037  0.333  -0.346
 4.35  -0.502  0.002  -0.037  0.037  -0.038
 4.30  -0.509  0.009  -0.185  0.037  -0.044
 4.25  -0.519  0.013  0.111  -0.037  0.033
 4.20  -0.525  0.004  0.333  0.037  -0.025
 4.15  -0.532  0.000  0.111  -0.333  0.296
 4.10  -0.542  0.000  -0.407  -0.111  0.156
 4.05  -0.548  0.001  -0.259  0.111  -0.140
 4.00  -0.557  0.006  -0.037  -0.481  0.499
 3.95  -0.563  0.002  0.481  -0.111  0.058
 3.90  -0.579  0.007  0.185  0.185  -0.151
 3.85  -0.587  0.001  0.111  0.111  -0.099
 3.80  -0.593  0.000  -0.185  -0.037  0.044
 3.75  -0.607  0.009  0.111  0.111  -0.099
 3.70  -0.615  0.011  -0.037  -0.037  0.038
 3.65  -0.626  0.004  0.333  0.333  -0.222
 3.60  -0.638  0.002  0.037  -0.185  0.178
 3.55  -0.648  0.001  -0.037  -0.037  0.038
 3.50  -0.663  0.012  0.185  -0.185  0.151
 3.45  -0.676  0.005  0.481  -0.037  0.019
 3.40  -0.682  0.020  0.333  0.111  -0.074
 3.35  -0.701  0.010  0.407  0.185  -0.110
 3.30  -0.715  0.007  0.481  0.259  -0.134
 3.25  -0.732  0.004  -0.185  0.185  -0.219
 3.20  -0.747  0.012  -0.037  -0.259  0.269
 3.15  -0.759  0.004  0.111  0.259  -0.230
 3.10  -0.781  0.013  -0.037  0.037  -0.038
 3.05  -0.796  0.001  0.185  -0.259  0.211
 3.00  -0.814  0.002  0.037  -0.259  0.250
 2.95  -0.832  0.005  -0.259  0.037  -0.047
 2.90  -0.858  0.022  0.333  0.481  -0.321
 2.85  -0.884  0.007  -0.037  -0.185  0.192
 2.80  -0.909  0.028  -0.333  -0.259  0.346
 2.75  -0.926  0.004  -0.259  -0.185  0.233
 2.70  -0.953  0.017  -0.630  -0.037  0.060
 2.65  -0.995  0.015  -0.259  0.259  -0.326
 2.60  -1.035  0.064  -0.259  0.185  -0.233
 2.55  -1.078  0.139  -0.259  -0.037  0.047
 2.50  -1.106  0.142  -0.407  0.185  -0.261
 2.45  -1.150  0.146  -0.185  0.556  -0.658
 2.40  -1.229  0.203  0.778  0.407  -0.091
 2.35  -1.305  0.137  0.333  0.333  -0.222
 2.30  -1.414  0.423  0.111  0.037  -0.033
 2.25  -1.468  0.717  -0.704  0.333  -0.568
 2.20  -1.522  0.743  -0.926  0.556  -1.070
 2.15  -1.612  0.841  -1.000  0.926  -1.852
 2.10  -1.667  0.875  -1.000  1.000  -2.000
 2.05  -1.713  0.898  -1.000  1.000  -2.000
 2.00  -1.740  0.906  -0.852  0.778  -1.440
 1.95  -1.777  0.925  -1.000  1.000  -2.000
 1.90  -1.810  0.938  -1.000  1.000  -2.000
 1.85  -1.836  0.948  -0.926  0.852  -1.641
 1.80  -1.859  0.957  -1.000  1.000  -2.000
 1.75  -1.881  0.964  -0.926  0.926  -1.783
 1.70  -1.897  0.970  -1.000  1.000  -2.000
 1.65  -1.915  0.976  -1.000  0.926  -1.852
 1.60  -1.927  0.979  -1.000  1.000  -2.000
 1.55  -1.940  0.983  -1.000  1.000  -2.000
 1.50  -1.951  0.987  -1.000  1.000  -2.000
 1.45  -1.961  0.989  -1.000  1.000  -2.000
 1.40  -1.968  0.991  -1.000  1.000  -2.000
 1.35  -1.975  0.993  -1.000  1.000  -2.000
 1.30  -1.980  0.995  -1.000  0.926  -1.852
 1.25  -1.985  0.996  -1.000  1.000  -2.000
 1.20  -1.989  0.997  -0.926  0.926  -1.783
 1.15  -1.992  0.998  -1.000  1.000  -2.000
 1.10  -1.994  0.999  -1.000  1.000  -2.000
 1.05  -1.995  0.999  -1.000  1.000  -2.000
 1.00  -1.997  0.999  -1.000  1.000  -2.000
 0.95  -1.998  1.000  -1.000  1.000  -2.000
 0.90  -1.999  1.000  -1.000  1.000  -2.000
 0.85  -1.999  1.000  -1.000  1.000  -2.000
 0.80  -2.000  1.000  -1.000  1.000  -2.000
 0.75  -2.000  1.000  -1.000  1.000  -2.000
 0.70  -2.000  1.000  -1.000  1.000  -2.000
 0.65  -2.000  1.000  -1.000  1.000  -2.000
 0.60  -2.000  1.000  -1.000  1.000  -2.000
 0.55  -2.000  1.000  -1.000  1.000  -2.000
 0.50  -2.000  1.000  -1.000  1.000  -2.000
