# i = 7	j = 18
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.431  0.003  0.037  0.185  -0.178
 4.95  -0.435  0.002  0.037  0.111  -0.107
 4.90  -0.438  0.001  0.333  -0.037  0.025
 4.85  -0.444  0.000  0.407  0.037  -0.022
 4.80  -0.449  0.005  -0.111  -0.407  0.453
 4.75  -0.456  0.001  0.111  -0.037  0.033
 4.70  -0.459  0.000  0.185  0.185  -0.151
 4.65  -0.464  0.001  0.259  0.407  -0.302
 4.60  -0.474  0.000  0.037  0.037  -0.036
 4.55  -0.477  0.004  0.037  0.259  -0.250
 4.50  -0.486  0.005  -0.259  0.037  -0.047
 4.45  -0.488  0.003  -0.037  -0.037  0.038
 4.40  -0.494  0.004  0.037  0.259  -0.250
 4.35  -0.505  0.006  0.185  0.259  -0.211
 4.30  -0.513  0.003  -0.556  0.333  -0.519
 4.25  -0.519  0.000  0.333  0.185  -0.123
 4.20  -0.524  0.002  -0.407  -0.037  0.052
 4.15  -0.536  0.005  -0.037  -0.111  0.115
 4.10  -0.541  0.003  0.259  -0.259  0.192
 4.05  -0.546  0.001  -0.037  0.037  -0.038
 4.00  -0.560  0.006  0.185  0.185  -0.151
 3.95  -0.566  0.008  -0.037  0.259  -0.269
 3.90  -0.572  0.003  -0.185  0.111  -0.132
 3.85  -0.581  0.001  0.259  0.111  -0.082
 3.80  -0.591  0.003  -0.333  0.111  -0.148
 3.75  -0.601  0.001  -0.111  0.037  -0.041
 3.70  -0.614  0.005  -0.185  -0.481  0.571
 3.65  -0.623  0.003  0.111  0.259  -0.230
 3.60  -0.638  0.007  0.111  -0.185  0.165
 3.55  -0.649  0.006  -0.185  0.037  -0.044
 3.50  -0.663  0.003  -0.185  0.259  -0.307
 3.45  -0.673  0.001  0.407  -0.185  0.110
 3.40  -0.694  0.000  0.185  -0.259  0.211
 3.35  -0.698  0.008  -0.259  -0.185  0.233
 3.30  -0.712  0.001  -0.111  0.037  -0.041
 3.25  -0.732  0.006  0.037  -0.259  0.250
 3.20  -0.748  0.008  -0.333  0.185  -0.247
 3.15  -0.764  0.001  0.185  -0.333  0.272
 3.10  -0.782  0.001  0.037  0.111  -0.107
 3.05  -0.801  0.007  -0.630  0.333  -0.543
 3.00  -0.819  0.007  -0.037  -0.259  0.269
 2.95  -0.838  0.001  -0.704  0.111  -0.189
 2.90  -0.857  0.009  0.630  0.333  -0.123
 2.85  -0.877  0.020  0.037  -0.259  0.250
 2.80  -0.914  0.005  -0.778  -0.556  0.988
 2.75  -0.934  0.000  -0.481  -0.259  0.384
 2.70  -0.966  0.036  -0.407  0.259  -0.365
 2.65  -0.976  0.010  0.185  0.037  -0.030
 2.60  -1.033  0.078  -0.778  0.185  -0.329
 2.55  -1.083  0.135  0.185  0.333  -0.272
 2.50  -1.100  0.034  0.333  0.333  -0.222
 2.45  -1.142  0.076  0.630  -0.630  0.233
 2.40  -1.223  0.022  0.481  0.481  -0.250
 2.35  -1.291  0.128  -0.852  0.704  -1.303
 2.30  -1.422  0.662  -0.852  0.704  -1.303
 2.25  -1.485  0.741  -0.704  0.704  -1.199
 2.20  -1.546  0.784  -0.630  0.333  -0.543
 2.15  -1.597  0.812  -0.926  0.407  -0.785
 2.10  -1.660  0.871  -1.000  0.704  -1.407
 2.05  -1.703  0.893  -1.000  0.926  -1.852
 2.00  -1.745  0.913  -0.852  0.556  -1.029
 1.95  -1.772  0.922  -0.852  0.852  -1.578
 1.90  -1.806  0.937  -1.000  0.926  -1.852
 1.85  -1.835  0.947  -1.000  1.000  -2.000
 1.80  -1.862  0.958  -1.000  0.926  -1.852
 1.75  -1.879  0.964  -1.000  0.926  -1.852
 1.70  -1.898  0.970  -1.000  1.000  -2.000
 1.65  -1.913  0.975  -1.000  1.000  -2.000
 1.60  -1.927  0.979  -1.000  1.000  -2.000
 1.55  -1.942  0.984  -1.000  1.000  -2.000
 1.50  -1.952  0.987  -1.000  1.000  -2.000
 1.45  -1.959  0.989  -1.000  1.000  -2.000
 1.40  -1.968  0.991  -1.000  1.000  -2.000
 1.35  -1.975  0.993  -1.000  1.000  -2.000
 1.30  -1.981  0.995  -1.000  1.000  -2.000
 1.25  -1.985  0.996  -1.000  1.000  -2.000
 1.20  -1.989  0.997  -1.000  1.000  -2.000
 1.15  -1.991  0.998  -1.000  1.000  -2.000
 1.10  -1.994  0.998  -1.000  1.000  -2.000
 1.05  -1.996  0.999  -1.000  1.000  -2.000
 1.00  -1.997  0.999  -1.000  1.000  -2.000
 0.95  -1.998  1.000  -1.000  1.000  -2.000
 0.90  -1.999  1.000  -1.000  1.000  -2.000
 0.85  -1.999  1.000  -1.000  1.000  -2.000
 0.80  -2.000  1.000  -1.000  1.000  -2.000
 0.75  -2.000  1.000  -1.000  1.000  -2.000
 0.70  -2.000  1.000  -1.000  1.000  -2.000
 0.65  -2.000  1.000  -1.000  1.000  -2.000
 0.60  -2.000  1.000  -1.000  1.000  -2.000
 0.55  -2.000  1.000  -1.000  1.000  -2.000
 0.50  -2.000  1.000  -1.000  1.000  -2.000
