# i = 20	j = 8
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.429  0.000  -0.333  0.037  -0.049
 4.95  -0.435  0.002  0.407  -0.037  0.022
 4.90  -0.438  0.002  0.259  0.259  -0.192
 4.85  -0.445  0.000  0.037  -0.111  0.107
 4.80  -0.449  0.004  0.185  -0.037  0.030
 4.75  -0.451  0.004  0.037  0.037  -0.036
 4.70  -0.461  0.003  0.333  0.259  -0.173
 4.65  -0.467  0.001  0.407  0.259  -0.154
 4.60  -0.470  0.000  -0.037  0.333  -0.346
 4.55  -0.479  0.004  -0.333  0.185  -0.247
 4.50  -0.485  0.000  -0.185  0.037  -0.044
 4.45  -0.492  0.006  -0.185  -0.111  0.132
 4.40  -0.495  0.008  0.037  0.037  -0.036
 4.35  -0.503  0.000  0.037  0.037  -0.036
 4.30  -0.510  0.003  -0.111  0.111  -0.123
 4.25  -0.519  0.004  0.333  0.259  -0.173
 4.20  -0.526  0.005  -0.037  -0.185  0.192
 4.15  -0.534  0.003  0.259  -0.111  0.082
 4.10  -0.540  0.004  0.185  0.037  -0.030
 4.05  -0.550  0.002  0.111  0.037  -0.033
 4.00  -0.559  0.003  0.185  0.111  -0.091
 3.95  -0.564  0.002  -0.333  -0.037  0.049
 3.90  -0.576  0.002  -0.185  0.333  -0.395
 3.85  -0.590  0.004  -0.481  0.111  -0.165
 3.80  -0.595  0.003  -0.111  -0.259  0.288
 3.75  -0.607  0.008  -0.185  0.037  -0.044
 3.70  -0.615  0.001  0.037  0.111  -0.107
 3.65  -0.623  0.002  -0.185  0.185  -0.219
 3.60  -0.637  0.008  0.259  -0.111  0.082
 3.55  -0.643  0.003  -0.185  -0.111  0.132
 3.50  -0.660  0.012  0.556  0.111  -0.049
 3.45  -0.676  0.003  -0.037  0.037  -0.038
 3.40  -0.686  0.001  -0.111  0.185  -0.206
 3.35  -0.701  0.001  0.259  0.185  -0.137
 3.30  -0.717  0.005  0.407  0.185  -0.110
 3.25  -0.731  0.001  0.481  -0.259  0.134
 3.20  -0.744  0.002  0.481  -0.259  0.134
 3.15  -0.761  0.019  0.111  0.185  -0.165
 3.10  -0.781  0.016  -0.185  -0.259  0.307
 3.05  -0.803  0.005  0.111  -0.037  0.033
 3.00  -0.819  0.004  -0.333  0.407  -0.543
 2.95  -0.840  0.017  0.481  0.185  -0.096
 2.90  -0.855  0.003  -0.111  0.111  -0.123
 2.85  -0.878  0.008  -0.037  0.037  -0.038
 2.80  -0.916  0.028  0.556  0.037  -0.016
 2.75  -0.930  0.039  0.481  0.259  -0.134
 2.70  -0.967  0.000  0.037  -0.037  0.036
 2.65  -0.991  0.033  0.185  -0.333  0.272
 2.60  -1.032  0.091  -0.037  -0.111  0.115
 2.55  -1.067  0.055  -0.037  -0.111  0.115
 2.50  -1.107  0.051  0.704  0.407  -0.121
 2.45  -1.152  0.077  -0.185  0.185  -0.219
 2.40  -1.208  0.265  -0.481  -0.111  0.165
 2.35  -1.295  0.452  0.778  0.259  -0.058
 2.30  -1.373  0.573  0.481  0.407  -0.211
 2.25  -1.476  0.725  0.704  0.185  -0.055
 2.20  -1.547  0.795  0.926  0.481  -0.036
 2.15  -1.622  0.849  0.852  0.481  -0.071
 2.10  -1.667  0.874  1.000  0.333  0.000
 2.05  -1.716  0.900  0.926  0.481  -0.036
 2.00  -1.747  0.913  0.852  0.704  -0.104
 1.95  -1.773  0.922  1.000  0.852  0.000
 1.90  -1.808  0.938  0.926  0.926  -0.069
 1.85  -1.837  0.949  1.000  0.926  0.000
 1.80  -1.858  0.957  1.000  1.000  0.000
 1.75  -1.881  0.965  1.000  1.000  0.000
 1.70  -1.899  0.971  1.000  0.926  0.000
 1.65  -1.913  0.975  1.000  0.926  0.000
 1.60  -1.929  0.980  1.000  1.000  0.000
 1.55  -1.939  0.983  1.000  1.000  0.000
 1.50  -1.951  0.986  1.000  1.000  0.000
 1.45  -1.960  0.989  0.926  0.926  -0.069
 1.40  -1.968  0.991  1.000  1.000  0.000
 1.35  -1.974  0.993  1.000  1.000  0.000
 1.30  -1.981  0.995  1.000  1.000  0.000
 1.25  -1.985  0.996  1.000  1.000  0.000
 1.20  -1.989  0.997  1.000  1.000  0.000
 1.15  -1.992  0.998  1.000  1.000  0.000
 1.10  -1.994  0.998  1.000  1.000  0.000
 1.05  -1.996  0.999  1.000  1.000  0.000
 1.00  -1.998  0.999  1.000  1.000  0.000
 0.95  -1.998  1.000  1.000  1.000  0.000
 0.90  -1.999  1.000  1.000  1.000  0.000
 0.85  -1.999  1.000  1.000  1.000  0.000
 0.80  -2.000  1.000  1.000  1.000  0.000
 0.75  -2.000  1.000  1.000  1.000  0.000
 0.70  -2.000  1.000  1.000  1.000  0.000
 0.65  -2.000  1.000  1.000  1.000  0.000
 0.60  -2.000  1.000  1.000  1.000  0.000
 0.55  -2.000  1.000  1.000  1.000  0.000
 0.50  -2.000  1.000  1.000  1.000  0.000
