# i = 18	j = 5
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.430  0.004  -0.259  0.481  -0.606
 4.95  -0.433  0.001  0.407  0.111  -0.066
 4.90  -0.437  0.000  -0.333  -0.037  0.049
 4.85  -0.444  0.000  -0.111  0.185  -0.206
 4.80  -0.448  0.003  0.407  0.185  -0.110
 4.75  -0.452  0.001  -0.333  -0.037  0.049
 4.70  -0.459  0.001  -0.259  0.037  -0.047
 4.65  -0.463  0.002  0.037  -0.111  0.107
 4.60  -0.472  0.002  0.037  0.259  -0.250
 4.55  -0.480  0.001  0.111  0.037  -0.033
 4.50  -0.481  0.001  0.185  0.037  -0.030
 4.45  -0.490  0.000  0.407  -0.037  0.022
 4.40  -0.495  0.006  -0.481  -0.185  0.274
 4.35  -0.504  0.007  0.259  -0.111  0.082
 4.30  -0.513  0.005  0.185  0.111  -0.091
 4.25  -0.518  0.001  0.185  0.111  -0.091
 4.20  -0.527  0.005  0.111  -0.185  0.165
 4.15  -0.533  0.000  -0.407  -0.111  0.156
 4.10  -0.540  0.005  -0.556  -0.111  0.173
 4.05  -0.554  0.001  0.259  -0.111  0.082
 4.00  -0.558  0.002  -0.481  0.111  -0.165
 3.95  -0.567  0.003  0.037  -0.111  0.107
 3.90  -0.576  0.003  0.407  -0.111  0.066
 3.85  -0.581  0.002  -0.111  0.407  -0.453
 3.80  -0.598  0.007  0.185  0.037  -0.030
 3.75  -0.605  0.003  0.037  -0.111  0.107
 3.70  -0.613  0.010  0.185  0.185  -0.151
 3.65  -0.628  0.011  -0.111  0.185  -0.206
 3.60  -0.637  0.007  0.185  -0.111  0.091
 3.55  -0.647  0.015  0.259  0.037  -0.027
 3.50  -0.662  0.015  -0.037  -0.037  0.038
 3.45  -0.675  0.007  -0.407  -0.037  0.052
 3.40  -0.683  0.006  0.481  -0.111  0.058
 3.35  -0.703  0.003  -0.259  0.259  -0.326
 3.30  -0.712  0.003  0.185  -0.037  0.030
 3.25  -0.729  0.004  -0.111  0.111  -0.123
 3.20  -0.742  0.006  -0.037  0.259  -0.269
 3.15  -0.763  0.005  0.037  0.259  -0.250
 3.10  -0.781  0.016  -0.111  0.037  -0.041
 3.05  -0.795  0.014  -0.037  -0.111  0.115
 3.00  -0.816  0.003  -0.333  0.259  -0.346
 2.95  -0.839  0.010  0.111  -0.111  0.099
 2.90  -0.863  0.019  0.111  0.185  -0.165
 2.85  -0.877  0.009  -0.037  -0.111  0.115
 2.80  -0.910  0.009  -0.556  -0.111  0.173
 2.75  -0.932  0.035  -0.333  -0.259  0.346
 2.70  -0.964  0.020  -0.185  0.037  -0.044
 2.65  -0.989  0.005  0.407  -0.481  0.285
 2.60  -1.019  0.021  0.111  -0.037  0.033
 2.55  -1.047  0.025  -0.259  0.185  -0.233
 2.50  -1.104  0.043  0.481  0.556  -0.288
 2.45  -1.152  0.087  -0.259  -0.333  0.420
 2.40  -1.206  0.037  0.185  0.037  -0.030
 2.35  -1.342  0.589  -0.704  0.407  -0.694
 2.30  -1.396  0.633  -0.852  0.481  -0.892
 2.25  -1.498  0.733  1.000  0.926  0.000
 2.20  -1.554  0.805  0.704  0.407  -0.121
 2.15  -1.589  0.813  0.778  0.704  -0.156
 2.10  -1.673  0.880  0.852  0.778  -0.115
 2.05  -1.713  0.898  1.000  0.926  0.000
 2.00  -1.751  0.916  1.000  0.852  0.000
 1.95  -1.783  0.928  1.000  0.630  0.000
 1.90  -1.810  0.938  1.000  0.926  0.000
 1.85  -1.835  0.948  1.000  0.926  0.000
 1.80  -1.858  0.956  1.000  1.000  0.000
 1.75  -1.880  0.964  1.000  0.852  0.000
 1.70  -1.896  0.969  0.926  0.926  -0.069
 1.65  -1.914  0.975  1.000  1.000  0.000
 1.60  -1.928  0.980  1.000  1.000  0.000
 1.55  -1.940  0.983  1.000  1.000  0.000
 1.50  -1.950  0.986  1.000  0.926  0.000
 1.45  -1.961  0.989  1.000  1.000  0.000
 1.40  -1.968  0.991  0.926  0.926  -0.069
 1.35  -1.975  0.993  1.000  1.000  0.000
 1.30  -1.979  0.994  1.000  1.000  0.000
 1.25  -1.985  0.996  1.000  1.000  0.000
 1.20  -1.988  0.997  1.000  1.000  0.000
 1.15  -1.991  0.998  1.000  1.000  0.000
 1.10  -1.994  0.998  1.000  1.000  0.000
 1.05  -1.996  0.999  1.000  1.000  0.000
 1.00  -1.997  0.999  1.000  1.000  0.000
 0.95  -1.998  1.000  1.000  1.000  0.000
 0.90  -1.999  1.000  1.000  1.000  0.000
 0.85  -2.000  1.000  1.000  1.000  0.000
 0.80  -2.000  1.000  1.000  1.000  0.000
 0.75  -2.000  1.000  1.000  1.000  0.000
 0.70  -2.000  1.000  1.000  1.000  0.000
 0.65  -2.000  1.000  1.000  1.000  0.000
 0.60  -2.000  1.000  1.000  1.000  0.000
 0.55  -2.000  1.000  1.000  1.000  0.000
 0.50  -2.000  1.000  1.000  1.000  0.000
