# i = 24	j = 12
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.428  0.001  0.333  -0.407  0.272
 4.95  -0.434  0.005  0.185  -0.259  0.211
 4.90  -0.440  0.002  0.259  -0.259  0.192
 4.85  -0.443  0.000  -0.185  -0.185  0.219
 4.80  -0.452  0.003  0.037  -0.037  0.036
 4.75  -0.453  0.004  -0.111  0.111  -0.123
 4.70  -0.460  0.000  0.037  0.185  -0.178
 4.65  -0.464  0.001  0.259  0.111  -0.082
 4.60  -0.471  0.001  0.259  0.407  -0.302
 4.55  -0.480  0.000  -0.333  -0.259  0.346
 4.50  -0.486  0.000  -0.111  -0.259  0.288
 4.45  -0.493  0.001  0.333  -0.037  0.025
 4.40  -0.498  0.002  0.259  -0.111  0.082
 4.35  -0.503  0.006  0.111  -0.111  0.099
 4.30  -0.509  0.004  0.185  0.111  -0.091
 4.25  -0.518  0.003  0.185  -0.037  0.030
 4.20  -0.527  0.002  0.111  -0.185  0.165
 4.15  -0.533  0.004  -0.037  0.037  -0.038
 4.10  -0.541  0.004  -0.185  0.111  -0.132
 4.05  -0.546  0.000  0.111  0.259  -0.230
 4.00  -0.557  0.002  -0.185  0.259  -0.307
 3.95  -0.566  0.003  0.037  -0.185  0.178
 3.90  -0.572  0.000  -0.778  0.259  -0.461
 3.85  -0.581  0.005  0.037  0.185  -0.178
 3.80  -0.594  0.002  -0.259  -0.111  0.140
 3.75  -0.606  0.007  -0.185  0.185  -0.219
 3.70  -0.613  0.003  0.185  -0.333  0.272
 3.65  -0.626  0.015  0.185  0.333  -0.272
 3.60  -0.633  0.000  0.333  0.407  -0.272
 3.55  -0.652  0.004  0.111  -0.037  0.033
 3.50  -0.662  0.005  0.333  0.037  -0.025
 3.45  -0.671  0.005  -0.111  0.111  -0.123
 3.40  -0.682  0.005  -0.111  0.259  -0.288
 3.35  -0.699  0.001  0.111  0.037  -0.033
 3.30  -0.713  0.010  0.185  -0.333  0.272
 3.25  -0.732  0.022  -0.185  -0.259  0.307
 3.20  -0.747  0.018  0.037  0.185  -0.178
 3.15  -0.761  0.007  0.407  0.111  -0.066
 3.10  -0.780  0.010  0.481  0.185  -0.096
 3.05  -0.794  0.001  0.333  -0.259  0.173
 3.00  -0.817  0.009  -0.037  0.185  -0.192
 2.95  -0.839  0.003  0.259  -0.037  0.027
 2.90  -0.859  0.006  -0.704  0.111  -0.189
 2.85  -0.884  0.004  0.185  -0.259  0.211
 2.80  -0.906  0.005  -0.037  -0.407  0.422
 2.75  -0.936  0.010  -0.407  0.037  -0.052
 2.70  -0.972  0.012  0.481  -0.259  0.134
 2.65  -1.001  0.049  0.037  -0.185  0.178
 2.60  -1.019  0.003  0.407  -0.259  0.154
 2.55  -1.076  0.065  -0.037  -0.259  0.269
 2.50  -1.121  0.083  0.333  0.333  -0.222
 2.45  -1.140  0.117  0.556  0.259  -0.115
 2.40  -1.225  0.195  0.630  0.481  -0.178
 2.35  -1.323  0.562  -0.630  0.185  -0.302
 2.30  -1.396  0.663  0.926  -0.037  0.003
 2.25  -1.489  0.752  1.000  0.926  0.000
 2.20  -1.568  0.824  0.704  0.481  -0.143
 2.15  -1.609  0.833  1.000  0.630  0.000
 2.10  -1.669  0.874  0.926  0.852  -0.063
 2.05  -1.710  0.893  0.926  0.926  -0.069
 2.00  -1.745  0.909  0.926  0.926  -0.069
 1.95  -1.777  0.924  1.000  0.926  0.000
 1.90  -1.811  0.939  0.852  0.852  -0.126
 1.85  -1.834  0.947  0.926  0.926  -0.069
 1.80  -1.858  0.956  1.000  1.000  0.000
 1.75  -1.877  0.963  1.000  1.000  0.000
 1.70  -1.897  0.970  1.000  1.000  0.000
 1.65  -1.914  0.975  1.000  1.000  0.000
 1.60  -1.928  0.980  1.000  1.000  0.000
 1.55  -1.939  0.983  0.926  0.926  -0.069
 1.50  -1.949  0.986  1.000  1.000  0.000
 1.45  -1.960  0.989  1.000  1.000  0.000
 1.40  -1.968  0.991  1.000  1.000  0.000
 1.35  -1.976  0.994  1.000  1.000  0.000
 1.30  -1.980  0.995  1.000  1.000  0.000
 1.25  -1.984  0.996  1.000  1.000  0.000
 1.20  -1.989  0.997  1.000  1.000  0.000
 1.15  -1.992  0.998  1.000  1.000  0.000
 1.10  -1.994  0.998  1.000  1.000  0.000
 1.05  -1.996  0.999  1.000  1.000  0.000
 1.00  -1.997  0.999  1.000  1.000  0.000
 0.95  -1.998  1.000  1.000  1.000  0.000
 0.90  -1.999  1.000  1.000  1.000  0.000
 0.85  -1.999  1.000  1.000  1.000  0.000
 0.80  -2.000  1.000  1.000  1.000  0.000
 0.75  -2.000  1.000  1.000  1.000  0.000
 0.70  -2.000  1.000  1.000  1.000  0.000
 0.65  -2.000  1.000  1.000  1.000  0.000
 0.60  -2.000  1.000  1.000  1.000  0.000
 0.55  -2.000  1.000  1.000  1.000  0.000
 0.50  -2.000  1.000  1.000  1.000  0.000
