# i = 1	j = 19
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.429  0.000  0.259  0.111  -0.082
 4.95  -0.434  0.003  -0.111  -0.333  0.370
 4.90  -0.441  0.001  -0.111  -0.259  0.288
 4.85  -0.443  0.005  0.111  -0.481  0.428
 4.80  -0.449  0.005  0.111  0.037  -0.033
 4.75  -0.456  0.004  0.037  0.259  -0.250
 4.70  -0.459  0.002  0.407  -0.111  0.066
 4.65  -0.467  0.003  -0.185  -0.259  0.307
 4.60  -0.474  0.001  0.037  0.111  -0.107
 4.55  -0.478  0.000  0.037  0.111  -0.107
 4.50  -0.484  0.001  -0.111  0.037  -0.041
 4.45  -0.488  0.003  -0.185  -0.259  0.307
 4.40  -0.496  0.008  0.259  -0.111  0.082
 4.35  -0.505  0.003  0.185  -0.037  0.030
 4.30  -0.511  0.003  0.037  0.111  -0.107
 4.25  -0.517  0.006  -0.111  -0.259  0.288
 4.20  -0.527  0.003  -0.111  0.185  -0.206
 4.15  -0.533  0.001  -0.185  0.111  -0.132
 4.10  -0.543  0.001  -0.037  -0.185  0.192
 4.05  -0.548  0.001  0.037  0.259  -0.250
 4.00  -0.557  0.000  -0.333  -0.333  0.444
 3.95  -0.564  0.003  -0.037  -0.259  0.269
 3.90  -0.570  0.004  0.481  -0.037  0.019
 3.85  -0.586  0.001  0.333  -0.037  0.025
 3.80  -0.595  0.007  0.037  0.185  -0.178
 3.75  -0.604  0.000  0.259  0.185  -0.137
 3.70  -0.613  0.000  0.111  0.333  -0.296
 3.65  -0.623  0.000  0.185  -0.111  0.091
 3.60  -0.638  0.001  0.333  -0.333  0.222
 3.55  -0.649  0.007  -0.037  0.037  -0.038
 3.50  -0.663  0.006  -0.556  -0.407  0.634
 3.45  -0.675  0.001  -0.111  -0.111  0.123
 3.40  -0.687  0.007  0.630  0.111  -0.041
 3.35  -0.701  0.006  -0.111  0.037  -0.041
 3.30  -0.716  0.006  0.333  0.037  -0.025
 3.25  -0.730  0.008  0.259  0.037  -0.027
 3.20  -0.747  0.005  -0.333  0.111  -0.148
 3.15  -0.760  0.011  0.111  0.185  -0.165
 3.10  -0.785  0.014  -0.259  0.111  -0.140
 3.05  -0.800  0.016  -0.407  0.259  -0.365
 3.00  -0.815  0.006  0.259  -0.481  0.357
 2.95  -0.843  0.022  -0.481  -0.185  0.274
 2.90  -0.857  0.017  0.037  -0.037  0.036
 2.85  -0.877  0.024  0.037  -0.111  0.107
 2.80  -0.909  0.001  0.556  -0.111  0.049
 2.75  -0.923  0.009  0.185  -0.111  0.091
 2.70  -0.962  0.055  0.481  0.407  -0.211
 2.65  -0.988  0.044  -0.407  0.037  -0.052
 2.60  -1.025  0.045  0.185  0.185  -0.151
 2.55  -1.058  0.084  0.185  0.111  -0.091
 2.50  -1.109  0.100  0.556  -0.111  0.049
 2.45  -1.141  0.003  -0.630  0.333  -0.543
 2.40  -1.207  0.283  0.037  0.185  -0.178
 2.35  -1.348  0.547  0.704  0.481  -0.143
 2.30  -1.401  0.633  -0.926  0.778  -1.498
 2.25  -1.446  0.652  -0.852  0.556  -1.029
 2.20  -1.536  0.775  -0.778  0.185  -0.329
 2.15  -1.592  0.813  -0.481  -0.037  0.055
 2.10  -1.677  0.881  -1.000  1.000  -2.000
 2.05  -1.703  0.888  -1.000  0.926  -1.852
 2.00  -1.746  0.912  -1.000  1.000  -2.000
 1.95  -1.774  0.923  -1.000  0.926  -1.852
 1.90  -1.812  0.940  -0.852  0.778  -1.440
 1.85  -1.837  0.949  -1.000  0.778  -1.556
 1.80  -1.859  0.957  -0.926  0.852  -1.641
 1.75  -1.884  0.966  -1.000  1.000  -2.000
 1.70  -1.897  0.970  -1.000  0.852  -1.704
 1.65  -1.915  0.976  -1.000  0.852  -1.704
 1.60  -1.929  0.980  -1.000  0.926  -1.852
 1.55  -1.944  0.984  -1.000  1.000  -2.000
 1.50  -1.951  0.987  -1.000  1.000  -2.000
 1.45  -1.960  0.989  -1.000  1.000  -2.000
 1.40  -1.969  0.992  -1.000  1.000  -2.000
 1.35  -1.975  0.993  -1.000  1.000  -2.000
 1.30  -1.979  0.994  -1.000  1.000  -2.000
 1.25  -1.984  0.996  -1.000  1.000  -2.000
 1.20  -1.989  0.997  -1.000  1.000  -2.000
 1.15  -1.992  0.998  -1.000  1.000  -2.000
 1.10  -1.994  0.998  -1.000  1.000  -2.000
 1.05  -1.996  0.999  -1.000  1.000  -2.000
 1.00  -1.997  0.999  -1.000  1.000  -2.000
 0.95  -1.998  1.000  -1.000  1.000  -2.000
 0.90  -1.999  1.000  -1.000  1.000  -2.000
 0.85  -1.999  1.000  -1.000  1.000  -2.000
 0.80  -1.999  1.000  -1.000  1.000  -2.000
 0.75  -2.000  1.000  -1.000  1.000  -2.000
 0.70  -2.000  1.000  -1.000  1.000  -2.000
 0.65  -2.000  1.000  -1.000  1.000  -2.000
 0.60  -2.000  1.000  -1.000  1.000  -2.000
 0.55  -2.000  1.000  -1.000  1.000  -2.000
 0.50  -2.000  1.000  -1.000  1.000  -2.000
