#   n   1/n    <E>    <|M|>     Szi    C(Sz)    Sxi    C(Sx)   Z1X2    X1Z2    Bell
#  ---  ----  ------  -----    -----   -----   -----   -----   -----  ------   -----
  69    0.014  -0.262   0.020  -0.004   0.004   0.214   0.001  -0.065  -0.016   0.139
  70    0.014  -0.205   0.020   0.005   0.006   0.211  -0.000   0.074   0.030  -0.059
  71    0.014  -0.203   0.019   0.004   0.001   0.216   0.001   0.063   0.052  -0.042
  72    0.014  -0.221   0.018   0.002   0.003   0.218   0.001   0.030   0.030   0.005
  73    0.014  -0.199   0.018   0.002   0.001   0.212   0.001   0.033  -0.026   0.001
  74    0.014  -0.223   0.018  -0.000   0.004   0.216   0.001  -0.006  -0.029   0.054
  75    0.013  -0.205   0.018   0.000   0.006   0.216   0.001   0.003  -0.032   0.042
  76    0.013  -0.206   0.018   0.000   0.001   0.216   0.001   0.006  -0.046   0.039
  77    0.013  -0.215   0.018  -0.001   0.003   0.217   0.000  -0.014  -0.025   0.067
  78    0.013  -0.228   0.017  -0.001  -0.000   0.216   0.001  -0.011  -0.017   0.063
  79    0.013  -0.214   0.017  -0.001   0.002   0.214   0.000  -0.024  -0.003   0.080
  80    0.013  -0.211   0.017   0.002   0.004   0.217   0.000   0.038   0.005  -0.006
  81    0.012  -0.209   0.017  -0.001   0.003   0.209   0.000  -0.013  -0.044   0.063
  82    0.012  -0.228   0.016  -0.001   0.004   0.214   0.001  -0.026  -0.031   0.083
  83    0.012  -0.207   0.017  -0.001   0.002   0.211   0.001  -0.013   0.013   0.064
  84    0.012  -0.226   0.016   0.001   0.003   0.216   0.001   0.010   0.021   0.032
  85    0.012  -0.204   0.016  -0.002  -0.001   0.216   0.001  -0.037  -0.053   0.098
  86    0.012  -0.219   0.015   0.001   0.004   0.213   0.000   0.010   0.015   0.032
  87    0.011  -0.198   0.016   0.003   0.001   0.215   0.001   0.052   0.062  -0.027
  88    0.011  -0.226   0.016  -0.001   0.001   0.216   0.001  -0.024   0.005   0.081
  89    0.011  -0.213   0.015   0.001   0.004   0.221   0.000   0.022   0.007   0.017
  90    0.011  -0.229   0.015  -0.000   0.001   0.212   0.001  -0.005   0.028   0.052
  91    0.011  -0.218   0.015   0.003   0.002   0.215   0.001   0.048  -0.012  -0.023
  92    0.011  -0.210   0.015   0.003   0.001   0.212   0.000   0.056   0.046  -0.033
  93    0.011  -0.236   0.015  -0.001   0.003   0.217   0.000  -0.025  -0.021   0.083
  94    0.011  -0.208   0.014  -0.001   0.001   0.211   0.000  -0.023   0.004   0.077
  95    0.011  -0.221   0.014  -0.000   0.001   0.213   0.000  -0.007   0.038   0.056
  96    0.010  -0.218   0.014  -0.001   0.002   0.214   0.000  -0.022  -0.062   0.078
  97    0.010  -0.218   0.013  -0.001   0.002   0.212   0.000  -0.011  -0.028   0.062
  98    0.010  -0.205   0.014  -0.001   0.002   0.215   0.000  -0.022  -0.018   0.077
  99    0.010  -0.201   0.014  -0.002   0.002   0.214   0.000  -0.032  -0.002   0.090
  100    0.010  -0.212   0.014  -0.001   0.002   0.216   0.001  -0.013  -0.022   0.066
  101    0.010  -0.216   0.013   0.001   0.002   0.210  -0.000   0.015  -0.015   0.024
  102    0.010  -0.215   0.013   0.000   0.002   0.214   0.000   0.008   0.013   0.034
  103    0.010  -0.216   0.013   0.000   0.002   0.213   0.001   0.006  -0.064   0.038
  104    0.010  -0.227   0.013   0.001   0.003   0.215   0.001   0.025   0.021   0.012
  105    0.010  -0.217   0.013  -0.001   0.003   0.212   0.000  -0.031  -0.022   0.089
  106    0.009  -0.209   0.013  -0.001   0.003   0.217   0.000  -0.012  -0.008   0.063
  107    0.009  -0.209   0.013  -0.001   0.001   0.214   0.000  -0.018   0.006   0.071
  108    0.009  -0.222   0.013  -0.001   0.003   0.215   0.000  -0.012   0.000   0.063
  109    0.009  -0.226   0.012   0.002   0.001   0.212   0.000   0.037   0.002  -0.007
  110    0.009  -0.227   0.013   0.000   0.002   0.214   0.000   0.008  -0.027   0.034
  111    0.009  -0.213   0.012  -0.001   0.003   0.215   0.001  -0.013  -0.033   0.066
  112    0.009  -0.210   0.012  -0.000   0.002   0.216   0.000  -0.004   0.027   0.051
  113    0.009  -0.220   0.012  -0.000   0.002   0.216   0.000  -0.009  -0.025   0.059
  114    0.009  -0.213   0.012  -0.000   0.000   0.214   0.000  -0.008   0.000   0.057
  115    0.009  -0.213   0.011   0.001   0.001   0.214   0.000   0.024   0.024   0.012
  116    0.009  -0.214   0.012   0.000   0.002   0.215   0.000   0.011   0.000   0.031
  117    0.009  -0.217   0.012  -0.001   0.000   0.212   0.000  -0.013   0.024   0.063
  118    0.008  -0.203   0.012  -0.001   0.002   0.214   0.000  -0.022  -0.022   0.076
  119    0.008  -0.211   0.011   0.000   0.002   0.210   0.000   0.009  -0.012   0.033
  120    0.008  -0.202   0.012   0.000   0.001   0.211   0.000   0.007   0.000   0.035
  121    0.008  -0.209   0.011  -0.000   0.002   0.211   0.001  -0.002   0.002   0.049
  122    0.008  -0.213   0.011   0.000   0.001   0.212   0.000   0.011   0.035   0.031
