# i = 23	j = 7
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.427  0.004  0.037  -0.185  0.178
 4.95  -0.432  0.004  0.481  0.185  -0.096
 4.90  -0.440  0.000  0.037  0.407  -0.392
 4.85  -0.444  0.002  0.037  0.111  -0.107
 4.80  -0.450  0.004  0.556  0.185  -0.082
 4.75  -0.458  0.004  -0.259  -0.259  0.326
 4.70  -0.459  0.003  -0.111  0.259  -0.288
 4.65  -0.465  0.002  0.333  0.185  -0.123
 4.60  -0.476  0.005  -0.037  -0.037  0.038
 4.55  -0.478  0.002  -0.259  0.333  -0.420
 4.50  -0.484  0.002  -0.407  0.333  -0.469
 4.45  -0.488  0.003  0.481  0.259  -0.134
 4.40  -0.496  0.002  -0.111  -0.185  0.206
 4.35  -0.504  0.001  -0.037  -0.185  0.192
 4.30  -0.510  0.000  0.037  0.111  -0.107
 4.25  -0.518  0.001  0.259  0.185  -0.137
 4.20  -0.527  0.003  0.259  -0.111  0.082
 4.15  -0.534  0.003  0.111  -0.037  0.033
 4.10  -0.540  0.000  0.481  0.185  -0.096
 4.05  -0.551  0.004  -0.407  0.185  -0.261
 4.00  -0.558  0.001  -0.185  -0.111  0.132
 3.95  -0.565  0.005  -0.185  0.111  -0.132
 3.90  -0.576  0.007  0.111  0.185  -0.165
 3.85  -0.583  0.002  -0.185  0.111  -0.132
 3.80  -0.594  0.001  0.185  -0.185  0.151
 3.75  -0.608  0.005  -0.259  0.037  -0.047
 3.70  -0.614  0.006  -0.333  -0.037  0.049
 3.65  -0.629  0.008  0.111  0.111  -0.099
 3.60  -0.635  0.002  0.407  0.037  -0.022
 3.55  -0.650  0.009  -0.111  -0.185  0.206
 3.50  -0.662  0.002  0.037  0.037  -0.036
 3.45  -0.671  0.006  -0.185  -0.037  0.044
 3.40  -0.688  0.004  0.407  -0.111  0.066
 3.35  -0.703  0.002  -0.481  0.185  -0.274
 3.30  -0.711  0.006  -0.259  0.333  -0.420
 3.25  -0.730  0.016  0.185  0.333  -0.272
 3.20  -0.751  0.005  -0.259  -0.481  0.606
 3.15  -0.763  0.005  -0.333  0.037  -0.049
 3.10  -0.774  0.011  0.185  0.037  -0.030
 3.05  -0.796  0.017  0.111  0.185  -0.165
 3.00  -0.816  0.015  0.037  0.037  -0.036
 2.95  -0.836  0.009  -0.111  -0.259  0.288
 2.90  -0.861  0.025  0.037  0.259  -0.250
 2.85  -0.883  0.016  -0.407  0.407  -0.573
 2.80  -0.910  0.019  0.333  0.111  -0.074
 2.75  -0.929  0.022  -0.481  -0.481  0.713
 2.70  -0.963  0.052  -0.037  -0.185  0.192
 2.65  -0.982  0.019  -0.111  0.037  -0.041
 2.60  -1.022  0.073  0.037  -0.037  0.036
 2.55  -1.067  0.043  -0.037  0.111  -0.115
 2.50  -1.090  0.063  -0.185  -0.185  0.219
 2.45  -1.151  0.061  -0.556  0.259  -0.403
 2.40  -1.215  0.183  0.037  -0.037  0.036
 2.35  -1.289  0.348  -0.111  -0.185  0.206
 2.30  -1.389  0.610  0.852  0.037  -0.005
 2.25  -1.490  0.747  -0.630  0.630  -1.026
 2.20  -1.548  0.798  -0.407  0.185  -0.261
 2.15  -1.624  0.854  -0.778  0.778  -1.383
 2.10  -1.656  0.860  -0.926  0.704  -1.355
 2.05  -1.709  0.895  -0.926  0.778  -1.498
 2.00  -1.743  0.910  -0.926  0.926  -1.783
 1.95  -1.780  0.927  -0.926  0.778  -1.498
 1.90  -1.808  0.938  -1.000  1.000  -2.000
 1.85  -1.838  0.949  -0.852  0.852  -1.578
 1.80  -1.857  0.956  -1.000  1.000  -2.000
 1.75  -1.881  0.964  -1.000  1.000  -2.000
 1.70  -1.898  0.970  -1.000  0.926  -1.852
 1.65  -1.915  0.976  -1.000  1.000  -2.000
 1.60  -1.928  0.980  -1.000  1.000  -2.000
 1.55  -1.940  0.983  -1.000  1.000  -2.000
 1.50  -1.952  0.987  -1.000  0.926  -1.852
 1.45  -1.961  0.989  -1.000  1.000  -2.000
 1.40  -1.968  0.991  -1.000  1.000  -2.000
 1.35  -1.975  0.993  -1.000  1.000  -2.000
 1.30  -1.980  0.995  -1.000  1.000  -2.000
 1.25  -1.985  0.996  -1.000  1.000  -2.000
 1.20  -1.989  0.997  -1.000  1.000  -2.000
 1.15  -1.991  0.998  -1.000  1.000  -2.000
 1.10  -1.993  0.998  -1.000  1.000  -2.000
 1.05  -1.995  0.999  -1.000  1.000  -2.000
 1.00  -1.997  0.999  -1.000  1.000  -2.000
 0.95  -1.998  1.000  -1.000  1.000  -2.000
 0.90  -1.999  1.000  -1.000  1.000  -2.000
 0.85  -1.999  1.000  -1.000  1.000  -2.000
 0.80  -2.000  1.000  -1.000  1.000  -2.000
 0.75  -2.000  1.000  -1.000  1.000  -2.000
 0.70  -2.000  1.000  -1.000  1.000  -2.000
 0.65  -2.000  1.000  -1.000  1.000  -2.000
 0.60  -2.000  1.000  -1.000  1.000  -2.000
 0.55  -2.000  1.000  -1.000  1.000  -2.000
 0.50  -2.000  1.000  -1.000  1.000  -2.000
