# i = 0	j = 1
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 1.00  10  -1.997  0.999  1.000  1.000  0.000  -2865927035599461.500
 0.95  10  -1.998  1.000  1.000  1.000  0.000  545.629
 0.90  10  -1.999  1.000  1.000  1.000  0.000  265.312
 0.85  10  -1.999  1.000  1.000  1.000  0.000  171.607
 0.80  10  -2.000  1.000  1.000  1.000  0.000  124.552
 0.75  10  -2.000  1.000  1.000  1.000  0.000  96.143
 0.70  10  -2.000  1.000  1.000  1.000  0.000  77.039
 0.65  10  -2.000  1.000  1.000  1.000  0.000  63.242
 0.60  10  -2.000  1.000  1.000  1.000  0.000  52.750
 0.55  10  -2.000  1.000  1.000  1.000  0.000  44.448
 0.50  10  -2.000  1.000  1.000  1.000  0.000  37.667
