# i = 19	j = 20
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 4.38  -0.497  0.004  0.002  0.004  0.245  0.002  0.021  0.035  0.032
 4.37  -0.503  0.004  0.004  0.009  0.255  0.002  0.036  0.007  0.015
 4.36  -0.501  0.002  -0.004  0.001  0.253  0.003  -0.036  0.007  0.117
 4.35  -0.504  0.001  0.002  0.017  0.257  0.002  0.021  0.095  0.036
 4.34  -0.505  0.000  0.012  0.012  0.252  0.002  0.108  0.079  -0.088
 4.33  -0.507  0.000  -0.004  0.007  0.258  0.002  -0.037  -0.022  0.120
 4.32  -0.508  0.003  0.006  0.004  0.259  0.002  0.052  -0.111  -0.004
 4.31  -0.511  0.001  -0.002  0.009  0.258  0.001  -0.022  0.007  0.098
 4.30  -0.510  0.003  0.007  0.015  0.258  0.002  0.066  0.037  -0.025
 4.29  -0.513  0.003  0.009  0.011  0.256  0.002  0.082  0.037  -0.048
 4.28  -0.514  0.001  0.002  0.006  0.252  0.002  0.022  0.050  0.036
 4.27  -0.514  0.003  -0.001  0.007  0.255  0.001  -0.007  0.007  0.076
 4.26  -0.517  0.003  -0.007  0.009  0.254  0.002  -0.068  -0.036  0.166
 4.25  -0.518  0.004  0.004  0.004  0.258  0.001  0.037  -0.007  0.015
 4.24  -0.518  0.000  -0.001  0.001  0.252  0.001  -0.007  0.007  0.077
 4.23  -0.522  0.010  0.007  0.012  0.264  0.002  0.068  0.098  -0.024
 4.22  -0.524  0.007  -0.007  0.011  0.264  0.001  -0.067  0.008  0.165
 4.21  -0.524  0.001  -0.001  0.012  0.261  0.002  -0.007  0.022  0.080
 4.20  -0.525  0.001  -0.004  0.001  0.268  0.003  -0.037  0.038  0.124
 4.19  -0.527  0.002  -0.002  0.006  0.264  0.003  -0.022  0.038  0.103
 4.18  -0.530  0.000  -0.004  0.006  0.266  0.002  -0.039  -0.008  0.131
 4.17  -0.531  0.001  0.004  0.009  0.268  0.001  0.038  0.069  0.019
 4.16  -0.533  0.004  -0.004  0.011  0.264  0.002  -0.037  0.098  0.124
 4.15  -0.530  0.004  0.002  0.004  0.257  0.001  0.022  -0.051  0.037
 4.14  -0.534  0.000  -0.009  -0.007  0.266  0.001  -0.084  0.099  0.190
 4.13  -0.535  0.003  0.001  0.011  0.269  0.002  0.008  0.023  0.063
 4.12  -0.535  0.003  0.001  0.011  0.266  0.002  0.008  0.084  0.064
 4.11  -0.539  0.003  0.006  0.011  0.269  0.003  0.054  0.130  -0.001
 4.10  -0.540  0.000  0.014  0.010  0.272  0.003  0.135  0.117  -0.112
 4.09  -0.540  0.005  0.002  0.006  0.266  0.002  0.023  -0.068  0.040
 4.08  -0.540  0.005  -0.006  0.002  0.272  0.003  -0.054  0.008  0.154
 4.07  -0.546  0.006  -0.001  0.011  0.262  0.002  -0.008  -0.112  0.083
 4.06  -0.546  0.002  0.007  0.006  0.281  0.003  0.071  0.072  -0.020
