# i = 18	j = 14
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.428  0.004  0.185  0.259  -0.211
 4.95  -0.432  0.000  0.111  0.185  -0.165
 4.90  -0.441  0.002  -0.259  -0.037  0.047
 4.85  -0.445  0.000  -0.185  -0.333  0.395
 4.80  -0.446  0.004  0.259  0.333  -0.247
 4.75  -0.453  0.005  -0.111  0.037  -0.041
 4.70  -0.461  0.004  0.111  0.037  -0.033
 4.65  -0.466  0.003  0.407  -0.037  0.022
 4.60  -0.468  0.002  -0.037  -0.037  0.038
 4.55  -0.476  0.006  -0.111  -0.333  0.370
 4.50  -0.484  0.000  -0.037  -0.111  0.115
 4.45  -0.488  0.005  0.333  0.037  -0.025
 4.40  -0.495  0.002  0.259  -0.259  0.192
 4.35  -0.500  0.001  0.259  0.259  -0.192
 4.30  -0.512  0.005  -0.185  -0.185  0.219
 4.25  -0.519  0.003  0.185  0.259  -0.211
 4.20  -0.523  0.001  0.037  -0.481  0.464
 4.15  -0.531  0.002  0.037  -0.333  0.321
 4.10  -0.542  0.002  -0.111  0.111  -0.123
 4.05  -0.550  0.003  0.037  -0.111  0.107
 4.00  -0.558  0.002  -0.111  0.185  -0.206
 3.95  -0.568  0.004  -0.111  0.111  -0.123
 3.90  -0.575  0.004  0.481  -0.111  0.058
 3.85  -0.583  0.002  0.185  0.037  -0.030
 3.80  -0.595  0.007  0.185  -0.037  0.030
 3.75  -0.603  0.005  -0.111  -0.185  0.206
 3.70  -0.621  0.010  -0.037  -0.259  0.269
 3.65  -0.625  0.002  -0.111  -0.111  0.123
 3.60  -0.639  0.012  -0.185  0.259  -0.307
 3.55  -0.647  0.015  -0.037  0.259  -0.269
 3.50  -0.658  0.004  -0.259  0.111  -0.140
 3.45  -0.670  0.003  -0.111  0.111  -0.123
 3.40  -0.686  0.003  -0.185  0.185  -0.219
 3.35  -0.702  0.009  0.259  0.111  -0.082
 3.30  -0.712  0.005  -0.407  0.111  -0.156
 3.25  -0.730  0.009  0.037  -0.259  0.250
 3.20  -0.745  0.017  -0.259  0.037  -0.047
 3.15  -0.766  0.007  -0.111  0.259  -0.288
 3.10  -0.778  0.019  -0.111  0.185  -0.206
 3.05  -0.796  0.017  0.185  -0.037  0.030
 3.00  -0.818  0.023  -0.185  -0.185  0.219
 2.95  -0.836  0.016  0.185  0.111  -0.091
 2.90  -0.854  0.026  -0.333  0.185  -0.247
 2.85  -0.887  0.004  -0.481  -0.259  0.384
 2.80  -0.911  0.010  0.630  0.481  -0.178
 2.75  -0.929  0.011  -0.111  0.407  -0.453
 2.70  -0.965  0.028  0.185  -0.407  0.332
 2.65  -0.996  0.006  -0.481  0.481  -0.713
 2.60  -1.041  0.166  0.407  -0.037  0.022
 2.55  -1.049  0.036  -0.481  0.556  -0.823
 2.50  -1.117  0.138  0.111  0.185  -0.165
 2.45  -1.153  0.044  -0.111  0.407  -0.453
 2.40  -1.223  0.122  0.556  0.185  -0.082
 2.35  -1.255  0.333  1.000  0.185  0.000
 2.30  -1.375  0.620  -0.630  0.556  -0.905
 2.25  -1.471  0.726  -0.333  0.556  -0.741
 2.20  -1.552  0.790  -0.259  0.185  -0.233
 2.15  -1.602  0.824  -1.000  0.778  -1.556
 2.10  -1.663  0.867  -1.000  0.778  -1.556
 2.05  -1.706  0.892  -0.926  0.926  -1.783
 2.00  -1.740  0.908  -0.852  0.852  -1.578
 1.95  -1.778  0.924  -1.000  0.926  -1.852
 1.90  -1.807  0.937  -1.000  1.000  -2.000
 1.85  -1.838  0.949  -0.926  0.778  -1.498
 1.80  -1.854  0.954  -1.000  1.000  -2.000
 1.75  -1.881  0.964  -0.926  0.926  -1.783
 1.70  -1.896  0.969  -1.000  1.000  -2.000
 1.65  -1.913  0.975  -1.000  1.000  -2.000
 1.60  -1.928  0.979  -1.000  1.000  -2.000
 1.55  -1.941  0.984  -1.000  1.000  -2.000
 1.50  -1.951  0.987  -1.000  1.000  -2.000
 1.45  -1.959  0.989  -1.000  1.000  -2.000
 1.40  -1.969  0.991  -1.000  1.000  -2.000
 1.35  -1.975  0.993  -1.000  1.000  -2.000
 1.30  -1.981  0.995  -1.000  1.000  -2.000
 1.25  -1.986  0.996  -1.000  1.000  -2.000
 1.20  -1.988  0.997  -1.000  1.000  -2.000
 1.15  -1.992  0.998  -1.000  1.000  -2.000
 1.10  -1.994  0.998  -1.000  1.000  -2.000
 1.05  -1.996  0.999  -1.000  1.000  -2.000
 1.00  -1.997  0.999  -1.000  1.000  -2.000
 0.95  -1.998  1.000  -1.000  1.000  -2.000
 0.90  -1.999  1.000  -1.000  1.000  -2.000
 0.85  -1.999  1.000  -1.000  1.000  -2.000
 0.80  -2.000  1.000  -1.000  1.000  -2.000
 0.75  -2.000  1.000  -1.000  1.000  -2.000
 0.70  -2.000  1.000  -1.000  1.000  -2.000
 0.65  -2.000  1.000  -1.000  1.000  -2.000
 0.60  -2.000  1.000  -1.000  1.000  -2.000
 0.55  -2.000  1.000  -1.000  1.000  -2.000
 0.50  -2.000  1.000  -1.000  1.000  -2.000
