# i = 4	j = 2
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.429  0.000  -0.259  0.333  -0.420
 4.95  -0.433  0.001  -0.333  -0.111  0.148
 4.90  -0.438  0.003  -0.481  0.259  -0.384
 4.85  -0.444  0.002  0.037  0.037  -0.036
 4.80  -0.450  0.001  0.259  -0.481  0.357
 4.75  -0.456  0.005  -0.037  -0.259  0.269
 4.70  -0.461  0.007  0.185  -0.185  0.151
 4.65  -0.463  0.003  0.333  -0.111  0.074
 4.60  -0.473  0.003  -0.037  0.185  -0.192
 4.55  -0.479  0.000  -0.111  -0.259  0.288
 4.50  -0.485  0.005  -0.111  -0.111  0.123
 4.45  -0.491  0.002  -0.185  -0.037  0.044
 4.40  -0.495  0.001  0.185  -0.037  0.030
 4.35  -0.501  0.001  0.185  0.111  -0.091
 4.30  -0.509  0.002  0.111  -0.481  0.428
 4.25  -0.516  0.001  -0.111  0.259  -0.288
 4.20  -0.523  0.002  0.037  0.259  -0.250
 4.15  -0.534  0.002  0.111  0.259  -0.230
 4.10  -0.545  0.001  -0.259  0.111  -0.140
 4.05  -0.546  0.004  -0.259  -0.111  0.140
 4.00  -0.559  0.007  -0.111  0.481  -0.535
 3.95  -0.568  0.008  0.185  0.481  -0.392
 3.90  -0.577  0.002  -0.481  0.333  -0.494
 3.85  -0.583  0.007  -0.259  0.111  -0.140
 3.80  -0.592  0.008  -0.037  -0.037  0.038
 3.75  -0.605  0.000  -0.185  -0.037  0.044
 3.70  -0.616  0.000  -0.111  -0.111  0.123
 3.65  -0.626  0.004  -0.037  0.037  -0.038
 3.60  -0.640  0.001  -0.333  -0.111  0.148
 3.55  -0.648  0.009  0.185  -0.037  0.030
 3.50  -0.656  0.010  0.037  -0.259  0.250
 3.45  -0.673  0.000  -0.037  -0.111  0.115
 3.40  -0.683  0.020  0.185  0.111  -0.091
 3.35  -0.702  0.004  -0.111  0.185  -0.206
 3.30  -0.710  0.012  0.185  0.333  -0.272
 3.25  -0.731  0.006  -0.185  0.037  -0.044
 3.20  -0.747  0.003  -0.333  0.259  -0.346
 3.15  -0.763  0.006  0.333  0.111  -0.074
 3.10  -0.779  0.013  -0.556  0.630  -0.979
 3.05  -0.793  0.008  0.037  0.185  -0.178
 3.00  -0.815  0.010  -0.185  0.111  -0.132
 2.95  -0.836  0.004  -0.037  0.333  -0.346
 2.90  -0.853  0.002  0.556  0.407  -0.181
 2.85  -0.882  0.010  -0.407  0.111  -0.156
 2.80  -0.909  0.009  -0.852  0.556  -1.029
 2.75  -0.948  0.025  0.037  0.111  -0.107
 2.70  -0.961  0.023  0.185  0.111  -0.091
 2.65  -0.996  0.016  0.630  0.259  -0.096
 2.60  -1.021  0.131  -0.259  0.407  -0.513
 2.55  -1.062  0.041  0.704  0.778  -0.230
 2.50  -1.112  0.071  -0.259  0.111  -0.140
 2.45  -1.166  0.277  0.407  0.407  -0.241
 2.40  -1.211  0.179  0.778  1.000  -0.222
 2.35  -1.276  0.028  0.630  0.481  -0.178
 2.30  -1.407  0.673  -0.852  0.704  -1.303
 2.25  -1.483  0.733  0.704  0.556  -0.165
 2.20  -1.565  0.809  0.185  0.333  -0.272
 2.15  -1.628  0.857  1.000  1.000  0.000
 2.10  -1.659  0.869  0.926  0.778  -0.058
 2.05  -1.698  0.886  0.778  0.704  -0.156
 2.00  -1.743  0.908  1.000  1.000  0.000
 1.95  -1.778  0.924  0.852  0.778  -0.115
 1.90  -1.815  0.941  0.926  0.926  -0.069
 1.85  -1.838  0.950  0.926  0.778  -0.058
 1.80  -1.862  0.958  0.926  0.926  -0.069
 1.75  -1.879  0.964  0.926  0.926  -0.069
 1.70  -1.898  0.970  0.926  0.926  -0.069
 1.65  -1.914  0.975  1.000  1.000  0.000
 1.60  -1.929  0.980  0.778  0.778  -0.173
 1.55  -1.942  0.984  1.000  0.926  0.000
 1.50  -1.950  0.986  1.000  1.000  0.000
 1.45  -1.959  0.989  1.000  1.000  0.000
 1.40  -1.970  0.992  1.000  1.000  0.000
 1.35  -1.973  0.993  1.000  1.000  0.000
 1.30  -1.981  0.995  0.926  0.926  -0.069
 1.25  -1.985  0.996  0.926  0.926  -0.069
 1.20  -1.988  0.997  1.000  1.000  0.000
 1.15  -1.991  0.998  1.000  1.000  0.000
 1.10  -1.994  0.998  1.000  1.000  0.000
 1.05  -1.996  0.999  1.000  1.000  0.000
 1.00  -1.997  0.999  1.000  1.000  0.000
 0.95  -1.998  1.000  1.000  1.000  0.000
 0.90  -1.999  1.000  1.000  1.000  0.000
 0.85  -1.999  1.000  1.000  1.000  0.000
 0.80  -2.000  1.000  1.000  1.000  0.000
 0.75  -2.000  1.000  1.000  1.000  0.000
 0.70  -2.000  1.000  1.000  1.000  0.000
 0.65  -2.000  1.000  1.000  1.000  0.000
 0.60  -2.000  1.000  1.000  1.000  0.000
 0.55  -2.000  1.000  1.000  1.000  0.000
 0.50  -2.000  1.000  1.000  1.000  0.000
