9.95	-0.205	0.001	0.467
9.90	-0.204	0.001	-0.200
9.85	-0.208	0.002	-0.200
9.80	-0.208	0.000	0.333
9.75	-0.210	0.001	-0.467
9.70	-0.208	0.001	-0.333
9.65	-0.211	0.001	-0.067
9.60	-0.212	0.001	-0.067
9.55	-0.212	0.003	-0.067
9.50	-0.215	0.000	0.200
9.45	-0.217	0.000	0.600
9.40	-0.218	0.001	-0.200
9.35	-0.218	0.001	-0.467
9.30	-0.219	0.002	-0.067
9.25	-0.221	0.001	-0.333
9.20	-0.223	0.002	-0.200
9.15	-0.223	0.001	0.333
9.10	-0.225	0.001	0.333
9.05	-0.227	0.003	0.200
9.00	-0.227	0.002	0.067
8.95	-0.227	0.001	-0.067
8.90	-0.230	0.001	0.067
8.85	-0.232	0.002	0.333
8.80	-0.232	0.000	0.200
8.75	-0.234	0.001	-0.067
8.70	-0.234	0.001	-0.467
8.65	-0.236	0.000	0.200
8.60	-0.236	0.000	-0.200
8.55	-0.239	0.001	0.467
8.50	-0.240	0.001	0.333
8.45	-0.241	0.002	0.067
8.40	-0.245	0.001	-0.733
8.35	-0.244	0.000	-0.200
8.30	-0.248	0.001	-0.067
8.25	-0.248	0.001	0.200
8.20	-0.252	0.001	-0.467
8.15	-0.253	0.001	-0.067
8.10	-0.255	0.000	0.067
8.05	-0.255	0.001	0.333
8.00	-0.256	0.001	-0.467
7.95	-0.259	0.001	0.333
7.90	-0.261	0.001	-0.200
7.85	-0.264	0.002	-0.067
7.80	-0.263	0.000	0.067
7.75	-0.266	0.001	-0.067
7.70	-0.267	0.000	-0.333
7.65	-0.268	0.000	0.467
7.60	-0.270	0.001	-0.333
7.55	-0.274	0.001	-0.200
7.50	-0.276	0.000	0.600
7.45	-0.276	0.000	0.200
7.40	-0.279	0.001	-0.200
7.35	-0.278	0.000	-0.467
7.30	-0.282	0.001	-0.067
7.25	-0.283	0.002	0.333
7.20	-0.285	0.002	0.333
7.15	-0.288	0.003	-0.467
7.10	-0.290	0.000	0.200
7.05	-0.292	0.001	0.067
7.00	-0.298	0.002	-0.733
6.95	-0.298	0.000	0.200
6.90	-0.299	0.001	-0.600
6.85	-0.301	0.000	0.067
6.80	-0.305	0.000	-0.067
6.75	-0.308	0.001	-0.333
6.70	-0.308	0.001	0.333
6.65	-0.310	0.001	-0.333
6.60	-0.317	0.001	0.067
6.55	-0.316	0.001	-0.067
6.50	-0.322	0.003	-0.200
6.45	-0.324	0.000	0.200
6.40	-0.326	0.001	0.200
6.35	-0.328	0.003	0.200
6.30	-0.331	0.001	0.067
6.25	-0.334	0.003	-0.200
6.20	-0.335	0.002	-0.067
6.15	-0.341	0.002	-0.067
6.10	-0.342	0.001	-0.467
6.05	-0.347	0.004	-0.067
6.00	-0.350	0.002	0.333
5.95	-0.352	0.000	0.200
5.90	-0.355	0.002	0.067
5.85	-0.359	0.002	0.067
5.80	-0.361	0.001	-0.200
5.75	-0.368	0.001	0.067
5.70	-0.370	0.002	0.200
5.65	-0.375	0.000	0.733
5.60	-0.377	0.001	0.067
5.55	-0.380	0.002	0.333
5.50	-0.386	0.001	-0.600
5.45	-0.390	0.001	-0.333
5.40	-0.393	0.001	0.200
5.35	-0.399	0.002	0.333
5.30	-0.401	0.000	-0.333
5.25	-0.405	0.003	-0.200
5.20	-0.408	0.001	0.200
5.15	-0.415	0.000	0.333
5.10	-0.420	0.005	0.200
5.05	-0.423	0.001	-0.600
