# i = 19	j = 3
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.427  0.003  -0.333  0.481  -0.642
 4.95  -0.433  0.004  0.111  -0.111  0.099
 4.90  -0.439  0.002  0.037  0.037  -0.036
 4.85  -0.441  0.002  0.259  0.037  -0.027
 4.80  -0.450  0.003  0.556  -0.037  0.016
 4.75  -0.458  0.006  -0.407  -0.185  0.261
 4.70  -0.461  0.003  -0.111  0.111  -0.123
 4.65  -0.465  0.001  -0.111  0.037  -0.041
 4.60  -0.472  0.005  0.185  -0.037  0.030
 4.55  -0.477  0.003  -0.185  0.037  -0.044
 4.50  -0.482  0.002  0.407  0.185  -0.110
 4.45  -0.493  0.006  -0.111  0.185  -0.206
 4.40  -0.497  0.001  0.037  0.037  -0.036
 4.35  -0.501  0.004  -0.037  0.111  -0.115
 4.30  -0.508  0.005  -0.185  -0.259  0.307
 4.25  -0.520  0.005  0.037  -0.111  0.107
 4.20  -0.526  0.001  0.037  -0.111  0.107
 4.15  -0.534  0.001  -0.037  0.037  -0.038
 4.10  -0.541  0.005  -0.185  -0.259  0.307
 4.05  -0.552  0.005  -0.333  0.037  -0.049
 4.00  -0.555  0.003  0.333  -0.111  0.074
 3.95  -0.569  0.012  -0.185  0.037  -0.044
 3.90  -0.573  0.003  0.037  -0.185  0.178
 3.85  -0.587  0.003  0.111  -0.037  0.033
 3.80  -0.592  0.006  0.481  -0.111  0.058
 3.75  -0.605  0.004  -0.333  -0.111  0.148
 3.70  -0.615  0.003  0.185  -0.037  0.030
 3.65  -0.623  0.004  0.111  -0.185  0.165
 3.60  -0.639  0.001  -0.481  -0.037  0.055
 3.55  -0.653  0.000  0.111  -0.037  0.033
 3.50  -0.658  0.007  -0.111  0.037  -0.041
 3.45  -0.672  0.006  0.333  -0.259  0.173
 3.40  -0.687  0.017  -0.481  -0.259  0.384
 3.35  -0.705  0.010  -0.630  -0.407  0.664
 3.30  -0.715  0.011  -0.111  0.185  -0.206
 3.25  -0.726  0.007  0.185  0.111  -0.091
 3.20  -0.742  0.000  0.111  0.481  -0.428
 3.15  -0.764  0.004  0.037  0.259  -0.250
 3.10  -0.785  0.003  0.333  -0.481  0.321
 3.05  -0.796  0.001  0.556  0.556  -0.247
 3.00  -0.817  0.017  0.333  0.556  -0.370
 2.95  -0.844  0.020  -0.111  -0.037  0.041
 2.90  -0.859  0.001  0.259  -0.111  0.082
 2.85  -0.882  0.018  -0.407  0.407  -0.573
 2.80  -0.910  0.000  0.630  0.037  -0.014
 2.75  -0.936  0.025  -0.037  0.037  -0.038
 2.70  -0.965  0.053  -0.407  0.259  -0.365
 2.65  -0.996  0.038  0.111  0.111  -0.099
 2.60  -1.020  0.039  0.185  0.185  -0.151
 2.55  -1.063  0.005  0.630  0.259  -0.096
 2.50  -1.101  0.059  0.407  -0.259  0.154
 2.45  -1.188  0.092  -0.259  0.185  -0.233
 2.40  -1.215  0.095  -0.185  -0.111  0.132
 2.35  -1.253  0.326  0.185  0.037  -0.030
 2.30  -1.391  0.620  0.852  0.333  -0.049
 2.25  -1.449  0.667  0.704  0.704  -0.209
 2.20  -1.536  0.780  0.926  0.852  -0.063
 2.15  -1.618  0.846  1.000  0.926  0.000
 2.10  -1.643  0.848  1.000  0.852  0.000
 2.05  -1.705  0.893  0.926  0.926  -0.069
 2.00  -1.751  0.915  0.852  0.778  -0.115
 1.95  -1.784  0.929  1.000  0.778  0.000
 1.90  -1.813  0.940  1.000  1.000  0.000
 1.85  -1.834  0.948  1.000  0.852  0.000
 1.80  -1.856  0.956  1.000  0.926  0.000
 1.75  -1.882  0.965  1.000  0.926  0.000
 1.70  -1.899  0.970  1.000  1.000  0.000
 1.65  -1.914  0.975  1.000  1.000  0.000
 1.60  -1.928  0.980  0.926  0.926  -0.069
 1.55  -1.940  0.983  0.926  0.926  -0.069
 1.50  -1.949  0.986  1.000  1.000  0.000
 1.45  -1.961  0.989  0.926  0.852  -0.063
 1.40  -1.968  0.991  1.000  1.000  0.000
 1.35  -1.973  0.993  1.000  1.000  0.000
 1.30  -1.981  0.995  1.000  1.000  0.000
 1.25  -1.985  0.996  1.000  1.000  0.000
 1.20  -1.989  0.997  1.000  1.000  0.000
 1.15  -1.991  0.998  1.000  1.000  0.000
 1.10  -1.993  0.998  1.000  1.000  0.000
 1.05  -1.996  0.999  1.000  1.000  0.000
 1.00  -1.997  0.999  1.000  1.000  0.000
 0.95  -1.998  1.000  1.000  1.000  0.000
 0.90  -1.999  1.000  1.000  1.000  0.000
 0.85  -1.999  1.000  1.000  1.000  0.000
 0.80  -2.000  1.000  1.000  1.000  0.000
 0.75  -2.000  1.000  1.000  1.000  0.000
 0.70  -2.000  1.000  1.000  1.000  0.000
 0.65  -2.000  1.000  1.000  1.000  0.000
 0.60  -2.000  1.000  1.000  1.000  0.000
 0.55  -2.000  1.000  1.000  1.000  0.000
 0.50  -2.000  1.000  1.000  1.000  0.000
