5.0	-0.391
5.0	-0.397
4.9	-0.399
4.9	-0.409
4.8	-0.412
4.8	-0.418
4.7	-0.424
4.7	-0.430
4.6	-0.441
4.6	-0.435
4.5	-0.448
4.5	-0.448
4.4	-0.466
4.4	-0.471
4.3	-0.470
4.3	-0.490
4.2	-0.488
4.2	-0.494
4.1	-0.515
4.1	-0.517
4.0	-0.534
4.0	-0.537
3.9	-0.540
3.9	-0.550
3.8	-0.567
3.8	-0.589
3.7	-0.589
3.7	-0.603
3.6	-0.611
3.6	-0.629
3.5	-0.647
3.5	-0.656
3.4	-0.672
3.4	-0.686
3.3	-0.702
3.3	-0.741
3.2	-0.759
3.2	-0.778
3.1	-0.809
3.1	-0.838
3.0	-0.876
3.0	-0.891
2.9	-0.913
2.9	-0.943
2.8	-0.991
2.8	-1.010
2.7	-1.068
2.7	-1.110
2.6	-1.143
2.6	-1.205
2.5	-1.268
2.5	-1.305
2.4	-1.364
2.4	-1.418
2.3	-1.470
2.3	-1.550
2.2	-1.573
2.2	-1.601
2.1	-1.666
2.1	-1.705
2.0	-1.754
2.0	-1.772
1.9	-1.802
1.9	-1.831
1.8	-1.850
1.8	-1.866
1.7	-1.893
1.7	-1.914
1.6	-1.925
1.6	-1.942
1.5	-1.946
1.5	-1.958
1.4	-1.971
1.4	-1.977
1.3	-1.980
1.3	-1.985
1.2	-1.987
1.2	-1.991
1.1	-1.993
1.1	-1.995
1.0	-1.997
1.0	-1.999
0.9	-1.999
0.9	-1.999
0.8	-2.000
0.8	-2.000
0.7	-2.000
0.7	-2.000
0.6	-2.000
0.6	-2.000
0.5	-2.000
0.5	-2.000
