# i = 2	j = 21
# T(K)   <E>   |<M>|   Szi   SziSzj  Corr(Szi,Szj)
# ---  ------  -----  -----  ------  -------------
 5.00  -0.428  0.000  0.111  -0.037  0.033
 4.95  -0.433  0.006  -0.407  0.185  -0.261
 4.90  -0.439  0.001  0.185  -0.111  0.091
 4.85  -0.443  0.001  -0.185  -0.111  0.132
 4.80  -0.446  0.001  -0.259  0.037  -0.047
 4.75  -0.455  0.001  -0.185  0.037  -0.044
 4.70  -0.463  0.005  -0.111  0.185  -0.206
 4.65  -0.464  0.002  -0.037  0.185  -0.192
 4.60  -0.471  0.004  -0.111  0.185  -0.206
 4.55  -0.475  0.001  -0.333  0.037  -0.049
 4.50  -0.482  0.005  0.111  -0.037  0.033
 4.45  -0.488  0.004  -0.259  0.259  -0.326
 4.40  -0.497  0.004  0.037  -0.185  0.178
 4.35  -0.501  0.005  -0.111  -0.037  0.041
 4.30  -0.509  0.003  0.111  -0.111  0.099
 4.25  -0.518  0.001  0.407  0.111  -0.066
 4.20  -0.522  0.005  -0.407  -0.037  0.052
 4.15  -0.535  0.005  0.111  -0.037  0.033
 4.10  -0.542  0.007  0.185  -0.037  0.030
 4.05  -0.548  0.001  -0.037  0.259  -0.269
 4.00  -0.559  0.003  -0.407  0.037  -0.052
 3.95  -0.563  0.003  -0.037  0.111  -0.115
 3.90  -0.573  0.013  0.111  0.333  -0.296
 3.85  -0.584  0.009  -0.185  0.259  -0.307
 3.80  -0.593  0.002  0.259  -0.111  0.082
 3.75  -0.604  0.007  0.111  -0.407  0.362
 3.70  -0.617  0.000  0.037  0.037  -0.036
 3.65  -0.622  0.000  -0.407  -0.037  0.052
 3.60  -0.638  0.011  -0.111  -0.037  0.041
 3.55  -0.651  0.010  0.259  -0.111  0.082
 3.50  -0.661  0.003  -0.333  0.037  -0.049
 3.45  -0.670  0.017  -0.333  -0.185  0.247
 3.40  -0.687  0.002  0.111  0.037  -0.033
 3.35  -0.701  0.008  0.111  -0.333  0.296
 3.30  -0.711  0.004  0.259  0.111  -0.082
 3.25  -0.728  0.002  0.407  -0.259  0.154
 3.20  -0.747  0.003  0.185  0.111  -0.091
 3.15  -0.763  0.013  0.185  -0.037  0.030
 3.10  -0.776  0.021  0.185  -0.185  0.151
 3.05  -0.799  0.009  0.407  0.111  -0.066
 3.00  -0.815  0.025  0.259  -0.259  0.192
 2.95  -0.837  0.009  0.111  0.111  -0.099
 2.90  -0.864  0.018  -0.111  -0.111  0.123
 2.85  -0.873  0.005  -0.481  -0.185  0.274
 2.80  -0.907  0.015  -0.111  -0.185  0.206
 2.75  -0.933  0.001  0.481  0.111  -0.058
 2.70  -0.962  0.045  -0.185  0.037  -0.044
 2.65  -0.997  0.017  -0.185  -0.111  0.132
 2.60  -1.022  0.024  -0.778  0.481  -0.856
 2.55  -1.067  0.054  -0.185  -0.037  0.044
 2.50  -1.107  0.147  0.111  -0.111  0.099
 2.45  -1.163  0.084  -0.185  -0.037  0.044
 2.40  -1.198  0.059  0.185  0.407  -0.332
 2.35  -1.289  0.388  -0.481  0.185  -0.274
 2.30  -1.305  0.346  -1.000  1.000  -2.000
 2.25  -1.467  0.726  0.926  0.630  -0.047
 2.20  -1.550  0.790  0.630  0.556  -0.206
 2.15  -1.610  0.839  0.926  0.926  -0.069
 2.10  -1.659  0.867  0.852  0.778  -0.115
 2.05  -1.716  0.899  0.926  0.852  -0.063
 2.00  -1.752  0.915  1.000  1.000  0.000
 1.95  -1.780  0.927  0.630  0.630  -0.233
 1.90  -1.805  0.936  0.852  0.852  -0.126
 1.85  -1.837  0.949  0.852  0.852  -0.126
 1.80  -1.859  0.957  0.926  0.926  -0.069
 1.75  -1.883  0.965  1.000  1.000  0.000
 1.70  -1.899  0.970  0.926  0.926  -0.069
 1.65  -1.914  0.975  1.000  0.926  0.000
 1.60  -1.929  0.980  1.000  1.000  0.000
 1.55  -1.940  0.983  1.000  1.000  0.000
 1.50  -1.951  0.986  1.000  1.000  0.000
 1.45  -1.961  0.990  1.000  1.000  0.000
 1.40  -1.969  0.992  1.000  0.926  0.000
 1.35  -1.974  0.993  1.000  1.000  0.000
 1.30  -1.981  0.995  1.000  1.000  0.000
 1.25  -1.985  0.996  1.000  1.000  0.000
 1.20  -1.988  0.997  1.000  1.000  0.000
 1.15  -1.991  0.998  1.000  1.000  0.000
 1.10  -1.994  0.998  1.000  1.000  0.000
 1.05  -1.996  0.999  1.000  1.000  0.000
 1.00  -1.997  0.999  1.000  1.000  0.000
 0.95  -1.998  1.000  1.000  1.000  0.000
 0.90  -1.999  1.000  1.000  1.000  0.000
 0.85  -1.999  1.000  1.000  1.000  0.000
 0.80  -2.000  1.000  1.000  1.000  0.000
 0.75  -2.000  1.000  1.000  1.000  0.000
 0.70  -2.000  1.000  1.000  1.000  0.000
 0.65  -2.000  1.000  1.000  1.000  0.000
 0.60  -2.000  1.000  1.000  1.000  0.000
 0.55  -2.000  1.000  1.000  1.000  0.000
 0.50  -2.000  1.000  1.000  1.000  0.000
